file,rows,columns,column_names
clubs.csv,439,17,"club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url"
club_games.csv,142052,11,"game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win"
players.csv,32407,23,"player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur"
games.csv,71026,23,"game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type"
game_lineups.csv,2191911,10,"game_lineups_id,date,game_id,player_id,club_id,player_name,type,position,number,team_captain"
transfers.csv,77932,10,"player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,player_name"
player_valuations.csv,487931,5,"player_id,date,market_value_in_eur,current_club_id,player_club_domestic_competition_id"
game_events.csv,986885,10,"game_event_id,date,game_id,minute,type,club_id,player_id,description,player_in_id,player_assist_id"
competitions.csv,44,11,"competition_id,competition_code,name,sub_type,type,country_id,country_name,domestic_league_code,confederation,url,is_major_national_league"
appearances.csv,1633394,13,"appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played"
